Timestamp,Power (W)
2025-07-12 11:31:43,"(-2.70381897e-05, 'W')"
2025-07-12 11:31:44,"(-2.41479738e-05, 'W')"
2025-07-12 11:31:45,"(-2.38589109e-05, 'W')"
2025-07-12 11:31:46,"(-2.48705492e-05, 'W')"
2025-07-12 11:31:47,"(-2.15467371e-05, 'W')"
2025-07-12 11:31:48,"(-2.38589109e-05, 'W')"
2025-07-12 11:31:49,"(-2.27028231e-05, 'W')"
2025-07-12 11:31:50,"(-2.37143777e-05, 'W')"
2025-07-12 11:31:51,"(-2.18358018e-05, 'W')"
2025-07-12 11:31:52,"(-2.25582917e-05, 'W')"
2025-07-12 11:31:53,"(-2.0968695e-05, 'W')"
2025-07-12 11:31:54,"(-2.0968695e-05, 'W')"
2025-07-12 11:31:55,"(-2.19802496e-05, 'W')"
2025-07-12 11:31:56,"(-2.18358018e-05, 'W')"
2025-07-12 11:31:57,"(-2.34253985e-05, 'W')"
2025-07-12 11:31:58,"(-2.25582917e-05, 'W')"
